title,artist,instruments
Spacestation,Strand of Oaks,"male singer, drum set, electric bass, shaker, piano, kick drum, female singer, toms, synthesizer, vocalists, tambourine, tack piano, auxiliary percussion, snare drum"
Almost Always,SWEAT,"drum set, clean electric guitar, piano, synthesizer, Main System, tenor saxophone"
Anecdoche,SWEAT,"drum set, piano, clean electric guitar, Main System, alto saxophone"
Elegy,SWEAT,"drum set, clean electric guitar, piano, Main System, tenor saxophone"
Mesozoic,SWEAT,"drum set, piano, clean electric guitar, synthesizer, Main System, tenor saxophone"
SN 1572,Sweat,"drum set, electric bass, kick drum, toms, Main System, high hat, cymbal, distorted electric guitar, electric piano, snare drum"
Tact,SWEAT,"drum set, clean electric guitar, piano, Main System, tenor saxophone"
You Let Me Down,Sweet Lights,"male singer, piano, synthesizer, cymbal, electric bass, kick drum, tack piano, acoustic guitar, auxiliary percussion, shaker, snare drum, timpani, toms, vocalists, claps, tambourine, vibraphone, drum set, drum machine"
Animoog,Tabla Breakbeat Science,"electric bass, drum machine, fx/processed sound, tabla, distorted electric guitar"
Captain Sky,Tabla Breakbeat Science,"tabla, drum set, electric bass, drum machine"
Milo vs Mongo,Tabla Breakbeat Science,"drum set, synthesizer, mandolin, drum machine, fx/processed sound, tabla"
Moody Plucks,Tabla Breakbeat Science,"tabla, clean electric guitar, synthesizer, drum machine, fx/processed sound, harp"
Phase Transition,Tabla Breakbeat Science,"accordion, electric bass, synthesizer, mandolin, drum machine, fx/processed sound, tabla"
Rock Steady,Tabla Breakbeat Science,"accordion, tabla, mandolin, drum machine"
Scorpio,Tabla Breakbeat Science,"accordion, clean electric guitar, synthesizer, drum machine, fx/processed sound, tabla"
Vger,Tabla Breakbeat Science,"accordion, clean electric guitar, synthesizer, mandolin, drum machine, fx/processed sound, tabla, auxiliary percussion"
WhoIsIt,Tabla Breakbeat Science,"electric bass, clean electric guitar, synthesizer, mandolin, drum machine, accordion, tabla"
Psycho Killer,Talking Heads,"male singer, crowd, drum set, electric bass, clean electric guitar, kick drum, high hat, Unlabeled, snare drum"
Love Story,Taylor Swift,"drum set, sampler, electric bass, kick drum, female singer, toms, vocalists, acoustic guitar, distorted electric guitar, Unlabeled, snare drum"
You Belong With Me,Taylor Swift,"drum set, electric bass, kick drum, female singer, toms, vocalists, high hat, Unlabeled, snare drum"
Everybody Wants to Rule the World,Tears for Fears,"male singer, drum set, clean electric guitar, kick drum, synthesizer, vocalists, high hat, Unlabeled, snare drum"
Dorothy Jeanne,Tempered Elan,"flute, harp, Main System"
Wise One,Tempered Elan,"flute, harp, Main System"
Modern Day Cowboy,Tesla,"male singer, drum set, kick drum, distorted electric guitar, Unlabeled"
Dirty Little Secret,The All American Rejects,"male singer, drum set, electric bass, piano, kick drum, synthesizer, toms, tambourine, vocalists, cymbal, distorted electric guitar, snare drum"
Ramblin Man,The Allman Brothers Band,"drum set, electric bass, clean electric guitar, piano, kick drum, electronic organ, toms, vocalists, tambourine, cymbal, snare drum"
Twist and Shout,The Beatles,"male singer, drum set, electric bass, clean electric guitar, male speaker, vocalists"
Wait,The Beatles,"drum set, electric bass, clean electric guitar, male speaker, vocalists, tambourine, shaker"
What Goes On,The Beatles,"drum set, electric bass, clean electric guitar, male speaker, vocalists"
When I'm 64,The Beatles,"male singer, drum set, electric bass, piano, clarinet section, vocalists"
While My Guitar Gently Weeps,The Beatles,"drum set, electric bass, vocalists, acoustic guitar, castanet"
With a Little Help From My Friends,The Beatles,"male singer, drum set, electric bass, vocalists, distorted electric guitar, Unlabeled"
Within You Without You,The Beatles,"sitar, male singer, tabla, string section, dilruba, Unlabeled"
Yellow Submarine,The Beatles,"male singer, drum set, electric bass, vocalists, acoustic guitar, Unlabeled"
You Won't See Me,The Beatles,"male singer, drum set, electric bass, clean electric guitar, vocalists, Unlabeled"
Your Touch,The Black Keys,"male singer, distorted electric guitar, drum set"
Believe,The Bravery,"drum set, clean electric guitar, kick drum, synthesizer, vocalists, cymbal, distorted electric guitar, snare drum"
False Alarm,The Bronx,"male singer, drum set, electric bass, kick drum, male screamer, distorted electric guitar, snare drum"
Six Days a Week,The Bronx,"drum set, electric bass, kick drum, distorted electric guitar, Unlabeled, snare drum"
Vermont,The Districts,"male singer, drum set, electric bass, clean electric guitar, kick drum, synthesizer, vocalists, tambourine, snare drum"
Franck Violin Sonata in A Major Movement 1,The Franck Duo,"violin, piano, Main System"
Franck Violin Sonata in A Major Movement 2,The Franck Duo,"violin, piano, Main System"
Somebody Told Me,The Killers,"male singer, drum set, electric bass, synthesizer, vocalists, distorted electric guitar"
Alive,The Kitchenettes,"drum set, electric bass, piano, violin, clean electric guitar, female singer, vocalists, acoustic guitar"
Naive,The Kooks,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, cymbal, snare drum"
Pictures Of You,The Last Goodnight,"male singer, drum set, electric bass, piano, kick drum, toms, high hat, distorted electric guitar, Unlabeled, snare drum"
Elgar Movement 1,The NoHo String Orchestra,"double bass, violin section, viola section, Main System, cello section"
Elgar Movement 2,The NoHo String Orchestra,"double bass, viola section, cello section, Main System, violin section"
Elgar Movement 3,The NoHo String Orchestra,"double bass, viola section, cello section, Main System, violin section"
Les Fleurs Du Mal,The Scarlet Brand,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, high hat, fx/processed sound, distorted electric guitar, snare drum"
Emergency,The So So Glos,"male singer, drum set, electric bass, clean electric guitar, shaker, kick drum, synthesizer, vocalists, high hat, whistle, acoustic guitar, vibraphone, fx/processed sound, cabasa, distorted electric guitar, auxiliary percussion, snare drum"
Lush,The Ton Tons,"male singer, drum set, electric bass, clean electric guitar, female singer, tambourine, distorted electric guitar"
Happy Together,The Turtles,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, Unlabeled, snare drum"
The Boys Are Back In Town,Thin Lizzy,"male singer, drum set, electric bass, kick drum, toms, high hat, distorted electric guitar, snare drum"
Jumper,Third Eye Blind,"male singer, drum set, electric bass, kick drum, acoustic guitar, distorted electric guitar, Unlabeled, snare drum"
Never Let You Go,Third Eye Blind,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, distorted electric guitar, Unlabeled, snare drum"
Late,Tleilax Ensemble,"double bass, male singer, violin, female singer, Main System"
Melancholy Flowers,Tleilax Ensemble,"double bass, male singer, violin, female singer, Main System"
I Wont Back Down,Tom Petty and The Heartbreakers,"male singer, drum set, electric bass, clean electric guitar, kick drum, vocalists, high hat, Unlabeled, snare drum"
Free Fallin,Tom Petty,"male singer, drum set, electric bass, kick drum, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
If You Could Only See,Tonic,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
New Skin,Torres,"drum set, electric bass, clean electric guitar, female singer, distorted electric guitar"
Bartender,T-Pain,"male singer, synthesizer, vocalists, drum machine, electric piano"
Alone and Sad,Trevor and the Soundwaves,"male singer, drum set, electric bass, clean electric guitar, distorted electric guitar"
Wolf Like Me,TV On The Radio,"drum set, kick drum, synthesizer, distorted electric guitar, Unlabeled, snare drum"
Cousins,Vampire Weekend,"male singer, drum set, electric bass, clean electric guitar, kick drum, toms, high hat, snare drum"
Holiday,Vampire Weekend,"male singer, drum set, electric bass, kick drum, toms, cymbal, distorted electric guitar, snare drum"
Jump,Van Halen,"male singer, drum set, electric bass, kick drum, synthesizer, toms, high hat, Unlabeled, snare drum"
Ice Ice Baby,Vanilla Ice,"electric bass, synthesizer, drum machine, male rapper, Unlabeled"
Il Trovatore,Verdi,"female singer, piano"
YMCA,Village People,"male singer, drum set, electric bass, kick drum, toms, vocalists, high hat, horn section, string section, Unlabeled, snare drum"
Island In The Sun,Weezer,"drum set, electric bass, kick drum, vocalists, high hat, acoustic guitar, Unlabeled, snare drum"
Play That Funky Music,Wild Cherry,"drum set, electric bass, clean electric guitar, kick drum, high hat, Unlabeled, snare drum"
Die Bekherte,NYU,"female singer, piano"
