archivo,directorio,track_name,artist,title,uuid,stem_id,instrumento,clase,plugin,programa,filename,raw_details
StevenClark_Bounty_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Steven Clark,Bounty,N/A,S09,piano,,N/A,N/A,StevenClark_Bounty_STEM_09.wav,R01: piano; R02: piano
StrandOfOaks_Spacestation_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Strand of Oaks,Spacestation,N/A,S06,piano,,N/A,N/A,StrandOfOaks_Spacestation_STEM_06.wav,R01: piano; R02: piano; R03: piano; R04: piano
StrandOfOaks_Spacestation_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Strand of Oaks,Spacestation,N/A,S08,tack piano,melody,N/A,N/A,StrandOfOaks_Spacestation_STEM_08.wav,R01: tack piano; R02: tack piano
Sweat_AlmostAlways_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,SWEAT,Almost Always,N/A,S04,piano,melody,N/A,N/A,Sweat_AlmostAlways_STEM_04.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
Sweat_Anecdoche_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,SWEAT,Anecdoche,N/A,S06,piano,melody,N/A,N/A,Sweat_Anecdoche_STEM_06.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
Sweat_Elegy_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,SWEAT,Elegy,N/A,S03,piano,melody,N/A,N/A,Sweat_Elegy_STEM_03.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
Sweat_Mesozoic_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,SWEAT,Mesozoic,N/A,S04,piano,melody,N/A,N/A,Sweat_Mesozoic_STEM_04.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
Sweat_Sn1572_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sweat,SN 1572,N/A,S05,electric piano,melody,N/A,N/A,Sweat_Sn1572_STEM_05.wav,R01: electric piano; R02: electric piano; R03: electric piano; R04: electric piano
Sweat_Tact_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,SWEAT,Tact,N/A,S02,piano,melody,N/A,N/A,Sweat_Tact_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano; R05: piano; R06: piano; R07: piano; R08: piano
SweetLights_YouLetMeDown_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sweet Lights,You Let Me Down,N/A,S09,piano,,N/A,N/A,SweetLights_YouLetMeDown_STEM_09.wav,R01: piano
SweetLights_YouLetMeDown_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Sweet Lights,You Let Me Down,N/A,S11,tack piano,,N/A,N/A,SweetLights_YouLetMeDown_STEM_11.wav,R01: tack piano
TheAllAmericanRejects_DirtyLittleSecret_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The All American Rejects,Dirty Little Secret,N/A,S04,"distorted electric guitar, piano, synthesizer, tambourine",,N/A,N/A,TheAllAmericanRejects_DirtyLittleSecret_STEM_04.wav,"R01: distorted electric guitar, piano, synthesizer, tambourine; R02: distorted electric guitar, piano, synthesizer, tambourine"
TheAllmanBrothersBand_RamblinMan_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Allman Brothers Band,Ramblin Man,N/A,S06,"electronic organ, tambourine, piano, clean electric guitar",,N/A,N/A,TheAllmanBrothersBand_RamblinMan_STEM_06.wav,"R01: electronic organ, tambourine, piano, clean electric guitar; R02: electronic organ, tambourine, piano, clean electric guitar"
TheBeatles_WhenIm64_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Beatles,When I'm 64,N/A,S05,piano,,N/A,N/A,TheBeatles_WhenIm64_STEM_05.wav,R01: piano; R02: piano
TheFranckDuo_FranckViolinSonataInAMajorMovement1_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Franck Duo,Franck Violin Sonata in A Major Movement 1,N/A,S03,piano,melody,N/A,N/A,TheFranckDuo_FranckViolinSonataInAMajorMovement1_STEM_03.wav,R01: piano; R02: piano
TheFranckDuo_FranckViolinSonataInAMajorMovement2_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Franck Duo,Franck Violin Sonata in A Major Movement 2,N/A,S02,piano,melody,N/A,N/A,TheFranckDuo_FranckViolinSonataInAMajorMovement2_STEM_02.wav,R01: piano; R02: piano
TheKitchenettes_Alive_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Kitchenettes,Alive,N/A,S05,piano,melody,N/A,N/A,TheKitchenettes_Alive_STEM_05.wav,R01: piano; R02: piano
TheLastGoodnight_PicturesOfYou_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,The Last Goodnight,Pictures Of You,N/A,S02,"piano, distorted electric guitar",,N/A,N/A,TheLastGoodnight_PicturesOfYou_STEM_02.wav,"R01: piano, distorted electric guitar; R02: piano, distorted electric guitar"
TPain_Bartender_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,T-Pain,Bartender,N/A,S02,electric piano,,N/A,N/A,TPain_Bartender_STEM_02.wav,R01: electric piano; R02: electric piano
Verdi_IlTrovatore_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,Verdi,Il Trovatore,N/A,S02,piano,,N/A,N/A,Verdi_IlTrovatore_STEM_02.wav,R01: piano; R02: piano
Wolf_DieBekherte_METADATA.yaml,D:\src\Piano-Audio-Separation\Analsis-exploratorio\YAML\medleydb,medleydb,NYU,Die Bekherte,N/A,S02,piano,melody,N/A,N/A,Wolf_DieBekherte_STEM_02.wav,R01: piano; R02: piano; R03: piano; R04: piano
